Document_No,Day_No,Menu_1,Menu_2,Date/time
265,1,"चहा,शिरा,कढी,पोळी,पत्ता कोबी,वांग्याची भाजी","चहा,पोळी",2018-05-27 04:06:11.649517+00:00
265,2,"चहा,ब्रेड,उपमा,मटकीची उसळ,पोळी,भात,पालक वरण","चहा,पोळी",2018-05-27 04:06:44.238114+00:00
265,3,"चहा,उपमा,पोळी,मेथीची भाजी,पालक वरण,आलूची भाजी","चहा,पोळी",2018-05-27 04:07:18.999230+00:00
266,1,"चहा,उपमा,पोळी,पत्ता कोबी,आलूची भाजी","चहा,पोळी",2018-05-27 04:08:59.923087+00:00
266,2,"चहा,उपमा,मटकीची उसळ,पोळी,पत्ता कोबी,पालक वरण","चहा,पोळी",2018-05-27 04:09:32.994055+00:00
266,3,"चहा,पोहे,कढी,पोळी,भात,पालक वरण","चहा,भात",2018-05-27 04:10:41.520956+00:00
267,1,"चहा,उपमा,पोळी,पालक वरण,टमाटर चटणी","चहा,पोळी",2018-05-27 04:12:28.793112+00:00
267,2,"चहा,उपमा,पोळी,भात,पालक वरण,आलूची भाजी","चहा,उपमा,पोळी",2018-05-27 04:13:02.071508+00:00
267,3,"चहा,पोहे,कढी,पोळी,भात,पत्ता कोबी,पालक वरण",चहा,2018-05-27 04:13:33.210472+00:00
268,1,"चहा,शिरा,वाटाणा उसळ,कढी,पोळी,पालक वरण","चहा,पोळी",2018-05-27 04:15:23.013372+00:00
268,2,"चहा,उपमा,मटकीची उसळ,पोळी,आलूची भाजी","चहा,पोळी",2018-05-27 04:15:52.201164+00:00
268,3,"चहा,उपमा,पोळी,पत्ता कोबी,मेथीची भाजी,पालक वरण","चहा,पोळी",2018-05-27 04:16:21.267732+00:00
269,1,"चहा,दूध,उपमा,पोळी,आलूची भाजी,टमाटर चटणी","चहा,पोळी",2018-05-27 04:17:49.078367+00:00
269,2,"चहा,पोहे,पोळी,भात,मेथीची भाजी,पालक वरण,टमाटर चटणी","चहा,पोळी",2018-05-27 04:18:25.087635+00:00
269,3,"चहा,उपमा,कढी,पोळी,भात,पालक वरण,वांग्याची भाजी",चहा,2018-05-27 04:19:01.741655+00:00
270,1,"चहा,उपमा,पोळी,मेथीची भाजी,पालक वरण,वांग्याची भाजी","चहा,पोळी,पालक वरण",2018-05-27 04:20:56.337553+00:00
270,2,"चहा,दूध,पोहे,पोळी,भात,पत्ता कोबी,पालक वरण","चहा,पोळी,पालक वरण",2018-05-27 04:21:35.536697+00:00
270,3,"चहा,दूध,उपमा,कढी,पोळी,पत्ता कोबी,टमाटर चटणी","चहा,उपमा,पोळी",2018-05-27 04:22:23.198079+00:00
271,1,"चहा,उपमा,पोळी,भात,पालक वरण,आलूची भाजी","चहा,उपमा,पोळी",2018-05-27 04:23:58.447286+00:00
271,2,"चहा,दूध,उपमा,मटकीची उसळ,पोळी,पालक वरण","चहा,पोळी",2018-05-27 04:24:36.222247+00:00
271,3,"चहा,दूध,शिरा,वाटाणा उसळ,पोळी,भात,आलूची भाजी","चहा,पोळी",2018-05-27 04:25:09.950571+00:00
272,1,"चहा,दूध,मटकीची उसळ,पोळी,पालक वरण,आलूची भाजी","चहा,पोळी",2018-05-27 04:39:53.687321+00:00
272,2,"चहा,उपमा,पोळी,भात,मेथीची भाजी,पालक वरण,टमाटर चटणी","चहा,पोळी",2018-05-27 04:40:25.910439+00:00
272,3,"चहा,उपमा,कढी,पोळी,मेथीची भाजी,पालक वरण","चहा,पोळी,पालक वरण",2018-05-27 04:42:22.641519+00:00
272,3,"चहा,उपमा,कढी,पोळी,मेथीची भाजी,पालक वरण","चहा,पोळी,पालक वरण",2018-05-27 04:40:58.849633+00:00
273,1,"चहा,पोहे,पोळी,पत्ता कोबी,पालक वरण,आलूची भाजी","चहा,पोळी",2018-05-27 04:42:57.412118+00:00
273,2,"चहा,दूध,उपमा,कढी,पोळी,भात,मेथीची भाजी,पालक वरण",चहा,2018-05-27 04:43:32.935125+00:00
273,3,"चहा,दूध,शिरा,पोळी,पालक वरण,आलूची भाजी,टमाटर चटणी","चहा,पोळी",2018-05-27 04:44:05.810139+00:00
274,1,"चहा,पोहे,मटकीची उसळ,पोळी,पालक वरण","चहा,पोहे,पोळी",2018-05-27 04:46:19.739609+00:00
274,2,"चहा,दूध,पोहे,पोळी,पालक वरण,आलूची भाजी","चहा,पोळी,पालक वरण",2018-05-27 04:46:56.495656+00:00
274,3,"चहा,पोहे,कढी,पोळी,भात,पालक वरण","चहा,पोहे",2018-05-27 04:47:28.953306+00:00
275,1,"चहा,दूध,उपमा,पोळी,पत्ता कोबी,पालक वरण",पोळी,2018-05-27 04:48:14.523863+00:00
275,2,"चहा,पोहे,पोळी,भात,बेसन,मेथीची भाजी,पालक वरण",,2018-05-27 04:48:49.177959+00:00
275,3,"चहा,शिरा,मटकीची उसळ,पोळी,आलूची भाजी","चहा,पोळी",2018-05-27 04:50:35.000176+00:00
276,1,"चहा,दूध,उपमा,पोळी,डाळ पालक,वांग्याची भाजी","चहा,पोळी",2018-05-27 04:51:14.763894+00:00
276,2,"चहा,दूध,पोहे,कढी,पोळी,भात,आलूची भाजी",,2018-05-27 04:51:48.961913+00:00
276,3,"चहा,उपमा,पोळी,बेसन,मेथीची भाजी","चहा,दूध,पोळी",2018-05-27 04:52:22.310741+00:00
277,1,"चहा,दूध,उपमा,पोळी,मेथीची भाजी,पालक वरण","पोळी,पालक वरण",2018-05-27 04:53:48.815350+00:00
277,2,"चहा,शिरा,मटकीची उसळ,पोळी,भात,पालक वरण,आलूची भाजी","चहा,पोळी",2018-05-27 04:54:22.714995+00:00
277,3,"चहा,उपमा,पोळी,पत्ता कोबी,पालक वरण","चहा,उपमा,पोळी,पत्ता कोबी",2018-05-27 04:54:59.333144+00:00
278,1,"चहा,दूध,उपमा,पोळी,मेथीची भाजी,पालक वरण,आलूची भाजी","चहा,उपमा,पोळी",2018-05-27 04:56:09.016985+00:00
278,2,"चहा,दूध,शिरा,कढी,पोळी,आलूची भाजी,टमाटर चटणी","चहा,पोळी",2018-05-27 04:56:50.938532+00:00
278,3,"चहा,दूध,साबुदाणा उसळ,पोळी,पालक वरण",,2018-05-27 04:57:23.557594+00:00
