Document_No,Day_No,Menu_1,Menu_2,Date/time
59,1,"चहा,दूध,पोहे,भाकर,पोळी,भात,पालक वरण","चहा,पालक वरण",2018-05-24 08:41:41.874998+00:00
59,2,"चहा,दूध,पोहे,पोळी,खिचडी,बेसन,वांग्याची भाजी",पोहे,2018-05-24 08:42:24.031936+00:00
59,3,"चहा,दूध,उपमा,वाटाणा उसळ,पोळी,भात,वांग्याचं भरीत","चहा,उपमा,पोळी",2018-05-24 08:43:20.375848+00:00
60,1,"चहा,दूध,उपमा,पोळी,भात,डाळ पालक,वांग्याची भाजी","चहा,उपमा,भात",2018-05-24 08:45:42.676385+00:00
60,2,"चहा,ब्रेड,दूध,उपमा,पोळी,खिचडी,बेसन,वांग्याची भाजी","पोळी,वांग्याची भाजी",2018-05-24 08:46:45.310913+00:00
60,3,"चहा,पोहे,पोळी,भात,टमाटर चटणी","चहा,पोळी,टमाटर चटणी",2018-05-24 08:47:45.768337+00:00
61,1,"चहा,दूध,उपमा,पोळी,भात,पत्ता कोबी,पालक वरण","दूध,पोळी",2018-05-24 12:06:44.343963+00:00
61,2,"चहा,साबुदाणा उसळ,पोळी,पालक वरण",चहा,2018-05-24 12:07:26.839454+00:00
61,3,"चहा,ब्रेड,उपमा,पोळी,भात,खिचडी,बेसन,अंड्याची भाजी",उपमा,2018-05-24 12:08:08.278904+00:00
62,1,"चहा,दूध,उपमा,पोळी,भात,टमाटर चटणी,वांग्याची भाजी","चहा,पोळी",2018-05-24 12:09:41.726072+00:00
62,2,"चहा,दूध,उपमा,पोळी,भात,खिचडी,बेसन,डाळ पालक","दूध,उपमा",2018-05-24 12:10:21.210515+00:00
62,3,"चहा,दूध,पोळी,भात,खिचडी,बेसन,पालक वरण",चहा,2018-05-24 12:10:58.953698+00:00
63,1,"चहा,उपमा,पोळी,भात,पालक वरण,वांग्याची भाजी","चहा,पोळी",2018-05-24 12:13:27.362454+00:00
63,2,"चहा,दूध,उपमा,पोळी,टमाटर चटणी,वांग्याची भाजी","चहा,उपमा,पोळी",2018-05-24 12:14:07.940674+00:00
63,3,"चहा,दूध,उपमा,पोळी,बेसन,आलूची भाजी","चहा,उपमा,पोळी",2018-05-24 12:14:51.891167+00:00
64,1,"चहा,दूध,पोहे,पोळी,भात,बेसन,मेथीची भाजी,पालक वरण","चहा,भात",2018-05-24 13:56:26.487430+00:00
64,2,"चहा,दूध,शिरा,वाटाणा उसळ,पोळी,भात,बेसन,वांग्याची भाजी",चहा,2018-05-24 13:57:09.969255+00:00
64,3,"चहा,दूध,साबुदाणा उसळ,पोळी,भात,मेथीची भाजी",दूध,2018-05-24 13:57:53.887083+00:00
65,1,"चहा,उपमा,कढी,पोळी,भात,पालक वरण","चहा,भात",2018-05-24 13:59:14.629113+00:00
65,2,"चहा,उपमा,मटकीची उसळ,पोळी,भात,पत्ता कोबी","चहा,पोळी",2018-05-24 14:00:09.866595+00:00
65,3,"चहा,दूध,उपमा,पोळी,भात,मेथीची भाजी,वांग्याची भाजी","चहा,पोळी",2018-05-24 14:00:59.343995+00:00
66,1,"चहा,दूध,शिरा,पोळी,पालक वरण,वांग्याची भाजी","चहा,पोळी",2018-05-24 14:02:17.414281+00:00
66,2,"चहा,दूध,उपमा,भाकर,खिचडी,बेसन,टमाटर चटणी",चहा,2018-05-24 14:02:55.086955+00:00
66,3,"चहा,पोळी,भात,खिचडी,मेथीची भाजी,वांग्याची भाजी","चहा,पोळी",2018-05-24 14:03:33.449183+00:00
67,1,"चहा,उपमा,पोळी,भात,पालक वरण,वांग्याची भाजी","चहा,पोळी",2018-05-24 14:05:18.023163+00:00
